iter	RMSE
0	3227.075398
1	2588.133387
2	2308.866881
3	2168.871538
4	2066.10071
5	2002.797851
6	1968.040074
7	1936.323974
8	1913.64177
9	1892.650464
10	1879.281324
11	1863.539081
12	1852.13411
13	1843.714481
14	1829.078867
15	1821.652151
16	1811.939708
17	1799.240809
18	1791.055029
19	1782.819413
20	1777.431099
21	1769.264774
22	1762.590121
23	1759.396021
24	1753.096141
25	1748.565861
26	1739.964856
27	1736.096498
28	1728.768448
29	1723.945661
30	1719.46077
31	1713.996822
32	1710.034596
33	1706.822478
34	1703.174052
35	1697.449895
36	1691.776284
37	1687.855212
38	1685.483047
39	1684.005082
40	1682.085621
41	1679.187255
42	1674.994422
43	1670.362846
44	1666.76443
45	1663.59757
46	1660.651346
47	1657.495592
48	1654.270916
49	1651.963575
50	1650.41521
51	1648.866342
52	1646.649577
53	1644.363021
54	1641.446849
55	1639.912092
56	1638.276232
57	1635.023045
58	1632.952923
59	1631.67915
60	1629.010287
61	1627.61026
62	1624.92382
63	1622.885928
64	1620.442148
65	1618.303475
66	1616.293587
67	1615.429574
68	1613.779664
69	1612.869773
70	1611.646973
71	1610.286787
72	1608.465952
73	1606.613412
74	1602.81405
75	1600.413901
76	1598.49892
77	1596.7524
78	1595.40079
79	1594.05033
80	1592.604064
81	1591.407302
82	1590.561499
83	1589.439151
84	1588.798602
85	1587.386167
86	1586.039368
87	1585.177472
88	1584.024121
89	1582.585046
90	1581.692381
91	1580.290895
92	1579.027498
93	1577.79436
94	1576.987693
95	1575.250359
96	1573.736088
97	1571.65229
98	1570.571832
99	1569.084914
100	1568.199164
101	1567.001912
102	1566.310051
103	1565.266084
104	1564.830866
105	1563.328524
106	1561.465832
107	1560.765584
108	1559.212365
109	1558.737256
110	1558.319021
111	1557.160441
112	1555.808735
113	1555.065307
114	1553.680374
115	1551.992849
116	1551.440669
117	1549.751743
118	1548.885512
119	1548.176766
120	1546.657491
121	1545.869106
122	1544.888486
123	1543.771128
124	1543.362378
125	1542.43524
126	1541.454682
127	1540.572679
128	1540.182096
129	1539.229754
130	1538.106283
131	1537.257948
132	1536.264117
133	1535.740965
134	1534.997699
135	1533.972034
136	1533.537808
137	1532.858434
138	1531.951244
139	1531.256589
140	1530.574747
141	1529.729866
142	1528.421827
143	1527.888699
144	1526.777887
145	1526.237296
146	1525.987955
147	1525.496016
148	1524.738234
149	1524.006485
150	1523.621738
151	1522.820644
152	1521.770163
153	1521.094347
154	1520.051078
155	1519.070502
156	1518.43315
157	1517.785914
158	1516.74579
159	1515.780017
160	1515.001863
161	1514.209233
162	1513.530988
163	1512.651876
164	1511.209624
165	1510.617718
166	1510.091091
167	1509.686589
168	1509.247609
169	1508.94069
170	1508.318355
171	1507.806127
172	1506.858353
173	1505.89328
174	1505.10205
175	1504.666432
176	1503.963552
177	1503.318769
178	1502.76236
179	1502.267905
180	1501.18736
181	1500.5252
182	1500.017147
183	1499.943528
184	1499.068906
185	1498.64206
186	1498.09153
187	1497.550305
188	1497.124635
189	1496.550844
190	1495.827815
191	1495.347767
192	1494.919905
193	1494.336975
194	1494.016033
195	1493.79821
196	1493.111313
197	1492.558576
198	1492.482517
199	1492.056434
200	1491.633477
201	1490.961229
202	1490.330009
203	1490.040387
204	1489.585405
205	1488.947053
206	1488.353775
207	1487.92632
208	1487.389873
209	1486.903871
210	1486.548039
211	1486.28704
212	1485.572941
213	1484.875505
214	1484.450837
215	1483.884817
216	1482.975826
217	1482.450461
218	1481.930527
219	1481.3943
220	1481.13884
221	1480.519345
222	1479.8126
223	1479.209929
224	1478.627296
225	1478.082655
226	1477.678302
227	1477.473586
228	1476.821577
229	1476.577755
230	1475.797902
231	1475.317771
232	1475.077185
233	1474.432434
234	1473.93904
235	1473.423471
236	1473.050613
237	1472.46293
238	1472.068095
239	1471.646942
240	1471.449843
241	1471.196054
242	1470.975669
243	1470.887836
244	1470.255412
245	1470.01342
246	1469.693811
247	1469.401552
248	1468.897994
249	1468.590585
250	1468.294374
251	1467.536894
252	1466.98684
253	1466.544046
254	1466.126003
255	1465.605229
256	1465.311273
257	1464.922356
258	1464.422884
259	1463.904222
260	1463.551349
261	1463.10433
262	1462.951181
263	1462.205189
264	1461.793158
265	1461.430947
266	1461.089508
267	1461.04711
268	1460.773232
269	1460.294295
270	1459.993531
271	1459.612602
272	1459.254615
273	1459.099815
274	1458.773466
275	1458.298566
276	1457.642684
277	1456.884408
278	1456.338348
279	1456.163989
280	1455.788465
281	1455.561029
282	1455.074106
283	1454.410629
284	1453.779526
285	1453.467699
286	1453.041807
287	1452.595199
288	1452.370562
289	1451.729707
290	1451.237276
291	1450.800671
292	1450.45066
293	1450.084917
