iter	Passed	Remaining
0	27	27848
1	47	23733
2	65	21753
3	83	20700
4	102	20385
5	122	20222
6	142	20239
7	163	20269
8	183	20168
9	204	20204
10	223	20076
11	243	20082
12	263	20042
13	282	19927
14	303	19954
15	323	19907
16	343	19849
17	362	19758
18	382	19756
19	402	19731
20	422	19682
21	440	19596
22	460	19554
23	480	19534
24	499	19480
25	520	19495
26	540	19468
27	561	19486
28	588	19713
29	609	19700
30	631	19726
31	651	19722
32	671	19686
33	691	19649
34	711	19615
35	730	19573
36	750	19527
37	771	19524
38	791	19499
39	810	19440
40	829	19391
41	850	19393
42	871	19385
43	890	19342
44	930	19754
45	950	19702
46	970	19688
47	991	19656
48	1014	19696
49	1035	19682
50	1054	19630
51	1075	19601
52	1096	19588
53	1116	19565
54	1137	19551
55	1159	19538
56	1179	19520
57	1200	19504
58	1222	19494
59	1243	19482
60	1264	19462
61	1284	19431
62	1303	19386
63	1322	19348
64	1342	19304
65	1359	19242
66	1378	19201
67	1398	19162
68	1417	19125
69	1435	19076
70	1454	19033
71	1474	19007
72	1495	18989
73	1513	18942
74	1532	18898
75	1552	18872
76	1571	18832
77	1589	18784
78	1608	18757
79	1629	18734
80	1650	18720
81	1672	18721
82	1693	18707
83	1712	18675
84	1732	18653
85	1751	18616
86	1771	18589
87	1790	18557
88	1810	18530
89	1829	18496
90	1848	18466
91	1867	18435
92	1887	18403
93	1907	18381
94	1926	18352
95	1944	18312
96	1964	18291
97	1982	18247
98	2001	18217
99	2020	18188
100	2038	18148
101	2059	18129
102	2078	18102
103	2097	18072
104	2118	18057
105	2140	18053
106	2173	18137
107	2193	18112
108	2211	18080
109	2231	18053
110	2250	18025
111	2269	17990
112	2287	17956
113	2305	17915
114	2323	17883
115	2342	17852
116	2364	17842
117	2382	17810
118	2401	17775
119	2419	17746
120	2438	17713
121	2458	17689
122	2478	17673
123	2497	17642
124	2515	17611
125	2535	17585
126	2555	17564
127	2573	17531
128	2593	17514
129	2612	17484
130	2633	17472
131	2652	17439
132	2671	17417
133	2692	17398
134	2711	17370
135	2730	17346
136	2751	17333
137	2773	17322
138	2793	17303
139	2813	17284
140	2833	17262
141	2853	17242
142	2873	17220
143	2892	17195
144	2912	17171
145	2931	17147
146	2951	17123
147	2969	17096
148	2989	17076
149	3009	17052
150	3028	17028
151	3048	17008
152	3079	17049
153	3107	17072
154	3129	17062
155	3148	17032
156	3168	17011
157	3187	16984
158	3207	16963
